Category,DescriptionChrCount,Forks,Stars,Issues,Branches,TotalCommits,Badges,No.READMEHeadings,READMEChrCount
Software Development,60,2,0,3,1,95,1,0,1260
Software Development,79,0,0,0,3,30,0,8,5868
Software Development,157,10,21,1,44,1230,1,5,2501
Software Development,46,0,0,0,1,3,0,0,227
Software Development,36,1,13,7,7,323,3,8,4504
Software Development,26,0,0,2,1,57,0,5,7871
Software Development,245,0,0,0,1,9,1,0,7288
Software Development,0,0,0,0,1,2,0,3,1318
Software Development,0,0,0,0,1,4,0,0,0
Software Development,47,0,0,0,6,105,3,12,3628
Software Development,164,14,49,6,2,704,9,2,5623
Software Development,120,0,0,0,34,206,0,0,0
Software Development,49,12,8,24,2,1046,0,1,1200
Software Development,133,1,1,10,1,1428,0,1,1054
Software Development,61,7,4,1,6,73,0,6,1304
Software Development,178,0,0,0,1,114,0,0,1557
Software Development,63,46,13,24,1,361,0,0,3484
Software Development,0,3,0,0,1,12,0,0,23
Software Development,122,10,9,0,1,455,0,0,2301
Software Development,62,19,14,6,24,946,2,7,8032
Software Development,146,4,2,7,2,160,1,4,2143
Software Development,69,1,3,0,1,167,0,33,19124
Software Development,0,0,0,1,8,173,0,0,2538
Software Development,24,1,1,1,1,14,0,4,1062
Software Development,330,0,0,0,1,8,7,8,7964
Software Development,34,16,6,21,2,1141,0,6,1303
Software Development,244,0,0,0,1,35,0,0,5495
Software Development,37,0,2,0,1,9,0,0,8061
Software Development,72,4,15,8,101,5033,3,3,2373
Software Development,374,0,0,0,1,7,5,9,7488
Software Development,24,0,2,0,3,20,0,0,434
Software Development,54,1,1,11,2,431,0,5,1767
Software Development,0,0,0,0,1,49,0,139,12369
Software Development,0,10,0,1,1,177,0,0,676
Software Development,186,0,0,0,1,167,0,0,598
Software Development,58,2,0,0,1,1895,0,0,0
Software Development,58,2,0,0,1,153,0,3,454
Software Development,46,2,2,0,10,52,0,1,348
Software Development,125,4,9,0,1,26,4,17,16056
Software Development,54,8,2,2,3,80,1,0,2281
Software Development,47,0,0,3,1,14,0,6,1114
Software Development,0,0,0,1,1,76,0,0,178
Software Development,20,0,0,0,1,4,0,0,6257
Software Development,79,0,1,0,1,3,0,7,1837
Miscellaneous: Informational,23,1,0,0,2,73,0,0,41
Miscellaneous: Informational,156,1,0,0,1,48,0,4,1230
Miscellaneous: Informational,133,0,1,31,4,128,1,0,192
Miscellaneous: Informational,82,0,0,0,2,1050,0,0,249
Miscellaneous: Informational,13,0,6,5,3,298,0,0,3809
Miscellaneous: Informational,0,0,0,0,1,1,0,7,4255
Miscellaneous: Informational,97,0,1,0,1,1,0,49,89165
Miscellaneous: Informational,0,0,0,0,1,68,0,0,22
Miscellaneous: Informational,0,0,0,0,2,1674,1,47,68453
Miscellaneous: Informational,0,1,0,0,1,16,0,0,0
Miscellaneous: Informational,14,0,3,2,1,169,0,0,3453
Miscellaneous: Informational,52,30,24,0,3,1826,3,1,927
Miscellaneous: Informational,69,6,2,2,7,98,0,4,3051
Miscellaneous: Informational,13,0,3,0,2,1,0,0,0
Miscellaneous: Informational,40,3,4,1,3,269,0,0,0
Miscellaneous: Informational,0,0,0,0,1,17,0,0,0
Miscellaneous: Informational,30,2,0,0,1,87,0,0,113
Miscellaneous: Informational,39,7,8,21,4,152,1,11,4019
Miscellaneous: Informational,121,1,0,0,2,212,0,0,406
Miscellaneous: Informational,67,0,0,3,5,223,3,8,5090
Miscellaneous: Informational,28,0,0,0,1,216,0,0,196
Miscellaneous: Informational,53,0,0,0,1,5,0,0,285
Miscellaneous: Informational,0,5,5,0,1,14,0,0,346
Miscellaneous: Informational,20,2,6,11,2,308,0,3,648
Miscellaneous: Informational,41,0,0,0,1,40,0,0,123
Miscellaneous: Informational,0,0,1,0,1,2,1,38,35048
Miscellaneous: Informational,71,0,0,1,3,2132,1,47,89056
Miscellaneous: Informational,48,0,1,1,2,2146,1,47,89009
Original Analysis,216,0,0,0,2,17,8,10,5769
Original Analysis,79,0,0,0,3,30,0,8,5868
Original Analysis,0,0,0,0,3,37,0,1,177
Original Analysis,73,1,2,3,1,53,1,2,2162
Original Analysis,26,0,0,0,1,243,0,0,174
Original Analysis,0,0,0,0,1,23,0,0,3
Original Analysis,38,2,2,4,1,120,0,1,81
Original Analysis,0,0,0,0,1,4,0,0,0
Original Analysis,223,2,2,0,1,49,0,6,3941
Original Analysis,19,0,1,0,3,170,0,1,718
Original Analysis,0,0,0,0,1,17,0,0,0
Original Analysis,205,2,2,3,1,14,0,46,54165
Original Analysis,54,0,0,0,1,14,0,9,2623
Original Analysis,49,0,0,0,1,22,0,0,228
Original Analysis,54,0,0,0,1,36,0,9,2428
Original Analysis,85,0,0,0,1,5,2,10,5004
Original Analysis,122,10,9,0,1,455,0,0,2301
Original Analysis,48,1,0,0,1,1,0,2,937
Original Analysis,0,0,0,1,1,21,0,1,13184
Original Analysis,0,0,0,0,1,1,0,0,0
Original Analysis,0,0,0,0,2,76,0,0,0
Original Analysis,43,0,0,0,1,3,0,0,99
Educational,0,1,1,2,3,1,0,0,0
Educational,10,0,0,0,1,4,0,9,1682
Educational,0,4,0,0,2,433,0,0,1029
Educational,38,2,2,4,1,120,0,1,81
Educational,223,2,2,0,1,49,0,6,3941
Educational,0,0,0,0,1,6,0,0,21
Educational,0,0,0,0,1,2,0,3,1318
Educational,0,0,0,0,1,4,0,0,0
Educational,164,14,49,6,2,704,9,2,5623
Educational,49,0,0,0,1,22,0,0,228
Educational,73,3,5,0,1,262,0,3,1940
Educational,0,0,0,8,9,6,0,0,0
Educational,244,0,0,0,1,35,0,0,5495
Educational,53,1,1,0,2,207,0,0,920
Educational,48,1,0,0,1,1,0,2,937
Educational,33,80,27,0,87,1613,1,1,0
Educational,54,1,1,11,2,431,0,5,1767
Educational,58,2,0,0,1,153,0,3,454
Educational,56,1,0,0,1,5,0,1,702
Educational,43,0,0,0,1,3,0,0,99
Miscellaneous: Articles,10,2,0,0,1,9,0,0,49
Miscellaneous: Articles,86,0,0,0,1,21,0,0,1009
Miscellaneous: Articles,0,1,0,4,5,3,0,3,3834
Miscellaneous: Articles,69,9,7,0,1,26,0,0,128
Miscellaneous: Articles,0,0,0,0,1,4,0,1,1112
Miscellaneous: Articles,0,0,2,0,1,3,0,0,0
Miscellaneous: Articles,57,0,0,0,1,10,0,0,75
Miscellaneous: Articles,121,1,0,0,2,212,0,0,406
Miscellaneous: Articles,13,4,1,0,1,37,0,0,305
Miscellaneous: Articles,51,0,0,8,1,53,0,6,3483
Miscellaneous: Articles,36,2,5,15,1,276,0,14,12781
Miscellaneous: Articles,97,0,1,0,1,4,0,4,765
Miscellaneous: Articles,0,2,1,0,1,47,0,0,61
Miscellaneous: Scraping,17,6,9,4,3,1999,0,2,4016
Miscellaneous: Scraping,304,0,1,0,20,39,0,0,0
Miscellaneous: Scraping,47,0,0,0,1,7,0,2,1076
Miscellaneous: Scraping,0,0,0,0,1,302,0,0,0
Miscellaneous: Scraping,0,0,0,3,1,32,0,0,0
Miscellaneous: Scraping,68,30,19,45,13,2030,0,0,623
Miscellaneous: Scraping,94,20,12,33,10,365,0,0,1111
Miscellaneous: Scraping,33,0,0,0,1,2,0,0,0
Miscellaneous: Scraping,48,0,0,0,1,2,0,0,290
Miscellaneous: Scraping,110,1,3,1,1,56,0,3,2294
Miscellaneous: Scraping,51,0,0,8,1,53,0,6,3483
Miscellaneous: Scraping,51,0,0,0,1,6,0,3,2878
Miscellaneous: Scraping,44,2,1,12,4,74,0,0,0
Storage,0,0,0,0,1,23,0,0,3
Storage,44,0,0,7,1,537,0,0,380
Storage,0,0,0,0,1,17,0,0,0
Storage,0,0,0,0,1,49,0,139,12369
Storage,79,0,1,0,1,3,0,7,1837
Can't Categorize,13,2,0,1,1,2,0,0,10
Can't Categorize,87,0,3,6,1,15,0,0,4602